type,id,latitude,longitude,name
way,426328412,-37.8861135,145.0092029,Cabrini Rehabilitation - Glen Huntly
way,426339014,-37.8848433,145.0103836,Cabrini Rehabilitation - Hopetoun Road
way,430754098,-38.3412731,143.5828381,Colac Hospital
way,435140411,-37.754257,144.958928,John Fawkner Private Hospital
way,435140412,-37.7540879,144.9590938,John Fawkner Private Hospital
way,435140414,-37.7543099,144.9585262,John Fawkner Private Hospital
way,440702532,-37.9186315,145.1214795,Sir John Monash Private Hospital
way,450185203,-38.3411647,141.6055578,Portland District Hospital
way,474103843,-35.0744335,142.3125486,Ouyen Hospital
way,477798846,-37.7510259,145.7052691,Warburton Hospital
way,480675917,-37.7159482,145.044581,LaTrobe University Podiatry Clinic
way,481480684,-36.334103,141.6558135,West Wimmera Health Service
way,481494062,-35.3404822,143.5562221,Swan Hill District Health
way,483020532,-37.9358992,145.0509009,Holmesglen Private Hospital
way,494418420,-37.9702786,145.2132527,Saint John of God
way,511921065,-37.8878943,144.7022004,St Vincent's Private Hospital Werribee
way,511921069,-37.8865835,144.7014367,Wyndham Private Medical Centre
way,545775020,-37.8634159,144.8923841,Williamstown Hospital
way,551537848,-36.7491263,144.281255,Bendigo Health
way,562158800,-37.9194124,145.123559,Monash Children's Hospital
way,606038923,-37.6041005,141.685943,Coleraine Hospital
way,615520995,-36.7621968,144.2615474,Bendigo Day Surgery
way,622687520,-38.0451795,145.3443914,Unknown
way,631993572,-38.2247714,145.0493429,Beleura Private Hospital
way,665503968,-37.9426777,145.0033614,Linacre Private Hospital
way,709867400,-37.8488256,145.1220633,Unknown
way,725232147,-37.9130448,145.139492,Unknown
way,847382591,-38.1378177,141.6242342,Unknown
way,852230687,-38.3814122,142.2271986,Moyne Health
way,866035797,-36.3636384,145.4064908,Psychiatric ward
way,875934629,-36.7188915,144.2509915,Unknown
way,894881008,-36.1117788,143.7273499,Boort District Health
way,903540987,-35.8002454,144.2149088,Cohuna District Hospital
way,974861664,-37.0183175,145.1392414,Seymour Hospital
way,983072159,-37.79249,145.3184779,Mooroolbark Residential Aged Care Facility
way,987544205,-37.8582155,145.1996514,Vermont Private Hospital
way,1010493960,-38.1546964,145.1330459,Frankston Private Hospital
way,1014120833,-37.6494642,145.0095274,Unknown
way,1024143049,-37.7897205,145.1715281,Donvale Rehabilitation Hospital
way,1031857292,-37.8462394,145.0544834,Epworth Camberwell
way,1057051180,-37.0353015,141.2891656,Edenhope and District Memorial Hospital
way,1113180120,-36.381404,141.2460378,Kaniava Hospital
way,1159318064,-38.1026363,147.1289852,Unknown
way,1167905350,-34.1848421,142.1457019,Mildura Health Private Hospital
relation,2170880,-37.7164983,145.044287,La Trobe University Medical Centre
relation,2170881,-37.7159645,145.0445826,La Trobe Private Hospital
relation,2223496,-38.2371404,143.1379434,South West Healthcare - Camperdown Campus
relation,11017712,-37.812296,144.984391,St Vincent's Private Hospital East Melbourne
relation,15618280,-38.4518364,145.241041,Phillip Island Health Hub
relation,16340387,-37.8110509,144.9841976,Epworth Freemasons
