FID,OBJECTID,STOP_ID,STOP_NAME,LATITUDE,LONGITUDE,TICKETZONE,ROUTES_USING_STOP,SHAPE,SE_ANNO_CAD_DATA
PTV_METRO_TRAIN_STATION.fid-3c3b5ed6_18344d972fe_7411,186,20015,Croxton Railway Station (Northcote),-37.7641,144.9971,1,Mernda,POINT (-37.76410098 144.997056),
PTV_METRO_TRAIN_STATION.fid-3c3b5ed6_18344d972fe_7412,187,20016,Northcote Railway Station (Northcote),-37.7699,144.9953,1,Mernda,POINT (-37.76986503 144.99527688),
PTV_METRO_TRAIN_STATION.fid-3c3b5ed6_18344d972fe_7413,188,20017,Merri Railway Station (Northcote),-37.7778,144.993,1,Mernda,POINT (-37.77784704 144.99297216),
PTV_METRO_TRAIN_STATION.fid-3c3b5ed6_18344d972fe_7414,189,20019,Rushall Railway Station (Fitzroy North),-37.7832,144.9924,1,Mernda,POINT (-37.78321698 144.99240696),
PTV_METRO_TRAIN_STATION.fid-3c3b5ed6_18344d972fe_7415,190,20021,Sunshine Railway Station (Sunshine),-37.7885,144.8329,"1,2",Sunbury,POINT (-37.78853598 144.832878),
PTV_METRO_TRAIN_STATION.fid-3c3b5ed6_18344d972fe_7416,191,20022,Tottenham Railway Station (West Footscray),-37.7993,144.8629,1,Sunbury,POINT (-37.79925102 144.86294484),
PTV_METRO_TRAIN_STATION.fid-3c3b5ed6_18344d972fe_7417,192,20023,West Footscray Railway Station (West Footscray),-37.8018,144.884,1,Sunbury,POINT (-37.80180297 144.88398504),
PTV_METRO_TRAIN_STATION.fid-3c3b5ed6_18344d972fe_7418,193,20024,Middle Footscray Railway Station (Footscray),-37.8025,144.8915,1,Sunbury,POINT (-37.80250497 144.89147196),
PTV_METRO_TRAIN_STATION.fid-3c3b5ed6_18344d972fe_7419,194,20025,Footscray Railway Station (Footscray),-37.8011,144.9032,1,"Werribee,Williamstown,Sunbury",POINT (-37.80108297 144.90319896),
PTV_METRO_TRAIN_STATION.fid-3c3b5ed6_18344d972fe_741a,195,20026,South Kensington Railway Station (Kensington),-37.7995,144.9255,1,"Williamstown,Werribee",POINT (-37.79953101 144.92546892),
PTV_METRO_TRAIN_STATION.fid-3c3b5ed6_18344d972fe_741b,196,20030,Broadmeadows Railway Station (Broadmeadows),-37.683,144.9196,2,Craigieburn,POINT (-37.68304896 144.91961316),
PTV_METRO_TRAIN_STATION.fid-3c3b5ed6_18344d972fe_741c,197,20031,Jacana Railway Station (Glenroy),-37.6951,144.9159,2,Craigieburn,POINT (-37.69513101 144.91585116),
PTV_METRO_TRAIN_STATION.fid-3c3b5ed6_18344d972fe_741d,198,20032,Glenroy Railway Station (Glenroy),-37.7045,144.9172,"1,2",Craigieburn,POINT (-37.70453601 144.91721988),
PTV_METRO_TRAIN_STATION.fid-3c3b5ed6_18344d972fe_741e,199,20033,Oak Park Railway Station (Oak Park),-37.718,144.9215,"1,2",Craigieburn,POINT (-37.71794997 144.921519),
PTV_METRO_TRAIN_STATION.fid-3c3b5ed6_18344d972fe_741f,200,20034,Pascoe Vale Railway Station (Pascoe Vale),-37.7308,144.9282,"1,2",Craigieburn,POINT (-37.73075598 144.92819592),
PTV_METRO_TRAIN_STATION.fid-3c3b5ed6_18344d972fe_7420,201,20035,Strathmore Railway Station (Strathmore),-37.7436,144.9273,1,Craigieburn,POINT (-37.74359097 144.92731608),
PTV_METRO_TRAIN_STATION.fid-3c3b5ed6_18344d972fe_7421,202,20036,Glenbervie Railway Station (Essendon),-37.7472,144.9209,1,Craigieburn,POINT (-37.74720996 144.92093904),
PTV_METRO_TRAIN_STATION.fid-3c3b5ed6_18344d972fe_7422,203,20037,Essendon Railway Station (Essendon),-37.756,144.9162,1,Craigieburn,POINT (-37.75601196 144.91619784),
PTV_METRO_TRAIN_STATION.fid-3c3b5ed6_18344d972fe_7423,204,20038,Moonee Ponds Railway Station (Moonee Ponds),-37.7657,144.9192,1,Craigieburn,POINT (-37.76570703 144.919161),
PTV_METRO_TRAIN_STATION.fid-3c3b5ed6_18344d972fe_7424,205,20039,Ascot Vale Railway Station (Ascot Vale),-37.7753,144.9218,1,Craigieburn,POINT (-37.77530598 144.92182104),
PTV_METRO_TRAIN_STATION.fid-3c3b5ed6_18344d972fe_7425,206,20040,Newmarket Railway Station (Flemington),-37.7873,144.929,1,Craigieburn,POINT (-37.787328 144.92897784),
PTV_METRO_TRAIN_STATION.fid-3c3b5ed6_18344d972fe_7426,207,20041,Kensington Railway Station (Kensington),-37.7938,144.9305,1,Craigieburn,POINT (-37.79378001 144.93052404),
PTV_METRO_TRAIN_STATION.fid-3c3b5ed6_18344d972fe_7427,208,20042,Box Hill Railway Station (Box Hill),-37.8192,145.1214,2,"Lilydale,Belgrave",POINT (-37.81922202 145.12142916),
PTV_METRO_TRAIN_STATION.fid-3c3b5ed6_18344d972fe_7428,209,22180,Southern Cross Railway Station (Melbourne City),-37.8179,144.9514,1,"Belgrave,Craigieburn,Cranbourne,Flemington,Frankston,Glen Waverley,Hurstbridge,Lilydale,Mernda,Pakenham,Sandringham,Sunbury,Upfield,Werribee,Williamstown,Alamein",POINT (-37.81793601 144.95141088),
