Name,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
West Brunswick,144.0,157.0,169.67,178.0,185.0,186.25,200.0,220.75,256.25,279.5,290.0,300.0,321.75,323.0,326.25,331.25,344.5,352.5,367.5,384.5,392.5,360.0,365.0,390.0
Group Total,171.25,181.25,190.0,198.0,201.25,208.75,220.0,238.75,275.0,303.75,323.75,336.25,340.0,340.0,348.0,350.0,361.25,375.5,395.0,400.0,400.0,397.5,407.5,430.0
Bundoora-Greensborough-Hurstbridge,185.0,196.25,208.33,215.0,222.5,230.0,241.25,257.5,290.0,317.5,331.75,347.5,348.5,340.0,348.75,353.75,360.0,373.75,390.0,400.0,400.0,407.5,421.25,440.0
Eltham-Research-Montmorency,198.75,211.25,225.0,232.0,238.75,246.25,256.5,281.25,310.0,342.5,345.75,361.25,363.75,365.0,378.75,397.5,402.5,420.0,445.0,450.0,456.25,466.25,492.5,500.0
Fairfield-Alphington,148.75,165.0,178.33,191.0,194.5,200.0,205.0,239.5,270.0,287.5,312.5,322.0,328.75,342.5,348.75,344.5,367.5,382.5,405.0,442.5,435.0,398.75,402.25,400.0
Heidelberg-Heidelberg West,181.25,193.75,203.33,211.0,220.0,223.75,236.25,256.5,290.0,313.25,328.75,341.25,348.75,350.0,360.0,360.0,372.5,393.75,410.0,420.0,421.25,417.5,427.5,450.0
Ivanhoe-Ivanhoe East,190.0,207.75,215.0,221.0,226.25,237.0,245.0,267.5,317.5,350.0,350.75,373.75,390.5,385.0,398.75,413.75,423.25,447.5,452.5,460.75,466.25,457.0,432.5,470.0
Mill Park-Epping,181.25,187.5,196.67,203.0,211.25,218.75,223.75,244.5,275.0,302.5,325.0,331.25,331.25,330.0,330.0,335.0,345.0,355.0,366.25,372.0,377.5,380.0,393.75,410.0
Northcote,195.75,208.75,226.67,227.0,240.5,248.75,263.75,293.75,345.0,376.25,395.0,410.0,430.0,436.25,447.5,450.0,447.5,466.25,493.75,500.0,500.0,493.75,488.75,510.0
Preston,169.0,177.5,186.67,191.8,200.0,208.75,222.5,248.75,286.25,322.5,337.5,350.0,352.0,355.0,364.5,372.5,382.5,396.25,416.25,425.0,422.5,407.5,415.0,450.0
Reservoir,162.5,167.5,173.33,180.0,186.25,188.75,199.0,218.75,255.0,282.5,297.5,311.25,312.5,320.0,321.25,330.0,341.25,352.5,367.5,380.0,382.5,380.0,387.5,405.0
Thomastown-Lalor,160.0,165.75,172.0,179.0,184.5,190.0,196.25,212.5,242.5,275.0,295.0,300.0,304.75,307.5,315.0,320.0,328.75,342.5,355.0,360.0,362.25,360.0,368.75,385.0
